"","GeneSet","Correlation","Metagenes"
"c7.19","c7.GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_SIGNED",0.527606338615513,"1"
"c7.20","c7.GSE12366_GC_VS_NAIVE_BCELL_SIGNED",0.5185988323603,"1"
"c7.21","c7.GSE25087_FETAL_VS_ADULT_TCONV_SIGNED",0.5185988323603,"1"
"c7.22","c7.GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_SIGNED",0.503586321934946,"1"
"c7.23","c7.GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_SIGNED",-0.503919933277731,"-1"
"c7.24","c7.GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_SIGNED",-0.508590492076731,"-1"
"c7.25","c7.GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_SIGNED",-0.51092577147623,"-1"
"c7.26","c7.GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_SIGNED",-0.511926605504587,"-1"
"c7.27","c7.GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_SIGNED",-0.511926605504587,"-1"
"c7.28","c7.GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_SIGNED",-0.514929107589658,"-1"
"c7.29","c7.GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_SIGNED",-0.517931609674729,"-1"
"c7.30","c7.GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_SIGNED",-0.518265221017515,"-1"
"c7.31","c7.GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_SIGNED",-0.522268557130942,"-1"
"c7.32","c7.GSE3982_EOSINOPHIL_VS_TH1_SIGNED",-0.523936613844871,"-1"
"c7.33","c7.GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_SIGNED",-0.526939115929942,"-1"
"c7.34","c7.GSE7852_LN_VS_THYMUS_TCONV_SIGNED",-0.530275229357798,"-1"
"c7.35","c7.GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_SIGNED",-0.531609674728941,"-1"
"c7.36","c7.GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_SIGNED",-0.533611342785655,"-1"
"c7.37","c7.GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_SIGNED",-0.534278565471226,"-1"
"c7.38","c7.GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_SIGNED",-0.534278565471226,"-1"
"c7.39","c7.GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_SIGNED",-0.542618849040867,"-1"
"c7.40","c7.GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_SIGNED",-0.55162635529608,"-1"
"c7.41","c7.GSE7460_CD8_TCELL_VS_TREG_ACT_SIGNED",-0.551959966638866,"-1"
"c7.42","c7.GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_SIGNED",-0.554295246038365,"-1"
"c7.43","c7.GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_SIGNED",-0.555963302752294,"-1"
"c7.44","c7.GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_SIGNED",-0.560300250208507,"-1"
"c7.45","c7.GSE3982_EOSINOPHIL_VS_TH2_SIGNED",-0.560300250208507,"-1"
"c7.46","c7.GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_SIGNED",-0.561301084236864,"-1"
"c7.47","c7.GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_SIGNED",-0.562969140950792,"-1"
"c7.48","c7.GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_SIGNED",-0.563636363636364,"-1"
"c7.49","c7.GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_SIGNED",-0.564970809007506,"-1"
"c7.50","c7.GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_SIGNED",-0.571643035863219,"-1"
"c7.51","c7.GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_SIGNED",-0.574311926605505,"-1"
"c7.52","c7.GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_SIGNED",-0.578648874061718,"-1"
"c7.53","c7.GSE3982_BCELL_VS_TH2_SIGNED",-0.582985821517932,"-1"
"c7.54","c7.GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_SIGNED/c7.GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_SIGNED/c7.GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_SIGNED",-0.585321100917431,"-1"
"c7.55","c7.GSE3982_MEMORY_CD4_TCELL_VS_TH2_SIGNED",-0.585988323603002,"-1"
"c7.56","c7.GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_SIGNED",-0.586655546288574,"-1"
"c7.57","c7.GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_SIGNED",-0.591993327773144,"-1"
"c7.58","c7.GSE3982_MEMORY_CD4_TCELL_VS_TH1_SIGNED",-0.594995829858215,"-1"
"c7.59","c7.GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_SIGNED",-0.595329441201001,"-1"
"c7.60","c7.GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_SIGNED",-0.600667222685571,"-1"
"c7.61","c7.GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_SIGNED",-0.601000834028357,"-1"
"c7.62","c7.GSE3982_NKCELL_VS_TH1_SIGNED",-0.609007506255213,"-1"
"c7.63","c7.GSE3982_BCELL_VS_TH1_SIGNED",-0.619015846538782,"-1"
"c7.64","c7.GSE3982_NKCELL_VS_TH2_SIGNED",-0.619349457881568,"-1"
"c7.65","c7.GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_SIGNED",-0.62535446205171,"-1"
"c7.66","c7.GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_SIGNED",-0.641701417848207,"-1"
"c7.67","c7.GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_SIGNED/c7.GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_SIGNED",-0.650041701417848,"-1"
"c7.68","c7.GSE20715_0H_VS_48H_OZONE_LUNG_SIGNED",-0.653044203502919,"-1"
"c7.69","c7.GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_SIGNED",-0.66371976647206,"-1"
"c7.70","c7.GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_SIGNED",-0.665387823185988,"-1"
"c7.71","c7.GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_SIGNED/c7.GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_SIGNED",-0.666722268557131,"-1"
